ID,Accent,Style 1,Style 2,Description,Category,Has Pair,Script Written,Recorded,Uploaded,Voice123 Tag 1,Voice123 Tag 2,Voice123 Upload Name,Script Filename
Commercial_01_American,General American,Conversational,Friendly,"Natural lifestyle brand (e.g. coffee, skincare)",Commercial,Yes,False,False,False,Advertisement,Promo,"Natural lifestyle brand (e.g. coffee, skincare) (US)",Commercial_01.txt
Commercial_01_British,General British,Conversational,Friendly,Same script as Commercial_01_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,"Natural lifestyle brand (e.g. coffee, skincare) (UK)",Commercial_01.txt
Commercial_02_American,General American,Confident,Upbeat,Youth-focused tech or app launch,Commercial,Yes,False,False,False,Advertisement,Promo,Youth-focused tech or app launch (US),Commercial_02.txt
Commercial_02_British,General British,Confident,Upbeat,Same script as Commercial_03_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,Youth-focused tech or app launch (UK),Commercial_02.txt
Commercial_03_American,General American,Professional,Clear,"Luxury ad—high-end watch, perfume, etc.",Commercial,Yes,False,False,False,Advertisement,Promo,"Luxury ad—high-end watch, perfume, etc. (US)",Commercial_03.txt
Commercial_03_British,General British,Professional,Clear,Same script as Commercial_05_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,"Luxury ad—high-end watch, perfume, etc. (UK)",Commercial_03.txt
Commercial_04_American,General American,Dramatic,Authoritative,Movie trailer / event promo (Announcer voice variant),Commercial,Yes,False,False,False,Advertisement,Promo,Movie trailer / event promo (announcer voice variant) (US),Commercial_04.txt
Commercial_04_British,General British,Dramatic,Authoritative,Same script as Commercial_07_GenAm,Commercial,Yes,False,False,False,"Movie, video game, and book trailers",Promo,Movie trailer / event promo (announcer voice variant) (UK),Commercial_04.txt
Commercial_05_Scottish,General Scottish,Real,Authentic,"Local pride, whisky ad, or homegrown brand",Commercial,Yes,False,False,False,Advertisement,Promo,"Local pride, whisky ad, or homegrown brand (Scotland)",Commercial_05.txt
Commercial_05_British,General British,Real,Authentic,"Local pride, whisky ad, or homegrown brand",Commercial,Yes,False,False,False,Advertisement,Promo,"Local pride, whisky ad, or homegrown brand (UK)",Commercial_05.txt
Commercial_05_American,General American,Real,Authentic,"Local pride, whisky ad, or homegrown brand",Commercial,Yes,False,False,False,Advertisement,Promo,"Local pride, whisky ad, or homegrown brand (US)",Commercial_05.txt
Commercial_06_Australian,General Australian,Natural,Educational,"Health or nonprofit campaign – calm, trustworthy",Commercial,Yes,False,False,False,Advertisement,Promo,Health or nonprofit campaign (Australia),Commercial_06.txt
Commercial_06_British,General British,Natural,Educational,"Health or nonprofit campaign – calm, trustworthy",Commercial,Yes,False,False,False,Advertisement,Promo,Health or nonprofit campaign (UK),Commercial_06.txt
Commercial_06_American,General American,Natural,Educational,"Health or nonprofit campaign – calm, trustworthy",Commercial,Yes,False,False,False,Advertisement,Promo,Health or nonprofit campaign (US),Commercial_06.txt
Commercial_07_American,General American,Playful,Animated,"Youth ad – fun, high energy, toy or game brand",Commercial,Yes,False,False,False,Advertisement,Promo,Youth ad (US),Commercial_07.txt
Commercial_07_British,General British,Playful,Animated,Same script as Commercial_15_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,Youth ad (UK),Commercial_07.txt
Commercial_08_Scottish,General Scottish,Deep,Authoritative,Public service announcement / political tone,Commercial,Yes,False,False,False,Advertisement,Promo,Public service announcement / political tone (Scotland),Commercial_08.txt
Commercial_08_British,General British,Deep,Authoritative,Public service announcement / political tone,Commercial,Yes,False,False,False,Advertisement,Promo,Public service announcement / political tone (UK),Commercial_08.txt
Commercial_08_American,General American,Deep,Authoritative,Public service announcement / political tone,Commercial,Yes,False,False,False,Advertisement,Promo,Public service announcement / political tone (US),Commercial_08.txt
Commercial_09_Irish,Irish,Funny,Energetic,"Edgy ad – satirical tone, quirky product (energy drink, etc.)",Commercial,Yes,False,False,False,Advertisement,Promo,Edgy ad (Ireland),Commercial_09.txt
Commercial_10_American,General American,Corporate,Informative,SaaS or tech startup explainer – crisp and professional,Commercial,Yes,False,False,False,Advertisement,Promo,Saas or tech startup explainer (US),Commercial_10.txt
Commercial_10_British,General British,Corporate,Informative,Same script as Commercial_21_GenAm,Commercial,Yes,False,False,False,Advertisement,Promo,Saas or tech startup explainer (UK),Commercial_10.txt
Commercial_11_London,Regional London,Authentic,Upbeat,"Local services ad – relatable, casual delivery",Commercial,No,False,False,False,Advertisement,Promo,Local services ad (London),Commercial_11.txt
Commercial_12_Australian,General Australian,Conversational,Clear,Retail or telco ad – friendly and direct,Commercial,Yes,False,False,False,Advertisement,Promo,Retail or telco ad (Australia),Commercial_12.txt
